=== SIMPLE_TEST BS=1 ===
T 18: 0.001907000000000 s
T 19: 0.001888000000000 s

=== BLOCK_TRAVERSAL_FOR_SPLIT BS=VEC_LEN/NT ===
success
T  0: 0.000061000000000 s
T  1: 0.000060000000000 s
T  2: 0.000060000000000 s
T  3: 0.000060000000000 s
T  4: 0.000061000000000 s
T  5: 0.000061000000000 s
T  6: 0.000061000000000 s
T  7: 0.000272000000000 s
T  8: 0.000109000000000 s
T  9: 0.000106000000000 s
T 10: 0.000325000000000 s
T 11: 0.000417000000000 s
T 12: 0.000106000000000 s
T 13: 0.000251000000000 s
T 14: 0.000209000000000 s
T 15: 0.000061000000000 s
T 16: 0.000293000000000 s
T 17: 0.000071000000000 s
T 18: 0.000144000000000 s
T 19: 0.000169000000000 s

=== BLOCK_TRAVERSAL_FOR_SPLIT BS=\(VEC_LEN/NT\)+1 ===

